,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),Average Running Time (Mins),,,,
London Overground North,Westbound,WEST HAMPSTEAD,BRONDESBURY,1.74,2.00,2.00,1.91,,,,
London Overground North,Westbound,BRONDESBURY,BRONDESBURY PARK,0.82,1.00,1.00,0.94,,,,
London Overground North,Westbound,BRONDESBURY PARK,KENSAL RISE,1.91,2.00,2.00,1.97,,,,
London Overground North,Westbound,KENSAL RISE,WILLESDEN JUNCTION,3.67,5.00,4.00,4.22,,,,
London Overground North,Westbound,WILLESDEN JUNCTION,ACTON CENTRAL,4.56,5.00,6.00,5.19,,,,
London Overground North,Westbound,ACTON CENTRAL,SOUTH ACTON,2.78,3.00,3.00,2.93,,,,
London Overground North,Westbound,SOUTH ACTON,GUNNERSBURY,2.62,3.00,3.00,2.87,,,,
London Overground North,Westbound,GUNNERSBURY,KEW GARDENS,2.52,3.00,3.00,2.84,,,,
London Overground North,Westbound,KEW GARDENS,RICHMOND,3.71,4.00,4.00,3.90,,,,
Elizabeth Line,Westbound,FARRINGDON,TOTTENHAM COURT ROAD,2.71,3.00,3.00,2.90,,,,
Elizabeth Line,Westbound,TOTTENHAM COURT ROAD,BOND STREET,1.77,2.00,2.00,1.92,,,,
Elizabeth Line,Westbound,BOND STREET,PADDINGTON (CIRCLE),3.41,4.00,4.00,3.80,,,,
Elizabeth Line,Eastbound,PADDINGTON (CIRCLE),BOND STREET,2.76,3.00,3.00,2.92,,,,
Elizabeth Line,Eastbound,BOND STREET,TOTTENHAM COURT ROAD,2.67,3.00,2.00,2.56,,,,
Elizabeth Line,Eastbound,TOTTENHAM COURT ROAD,FARRINGDON,2.71,3.00,3.00,2.90,,,,
